dyadId,participantId,partnerId,computer,subjectInitials,raName,sessionTime,sessionDate,sessionTimestamp,ratingTask,subTask,emotion1,emotion2,ratingPerson,response,trialNumber,softwareVersion
1,23132,123,Left,123,123,00:32,13213-12-31,2026-06-10T08:19:46.942Z,emotion_scenarios,stood_up_friend,sad,intensity,an average UW-Madison student,1,1,2.0.0
1,23132,123,Left,123,123,00:32,13213-12-31,2026-06-10T08:19:46.987Z,emotion_scenarios,stood_up_friend,sad,confidence,an average UW-Madison student,1,2,2.0.0
1,23132,123,Left,123,123,00:32,13213-12-31,2026-06-10T08:19:47.001Z,emotion_scenarios,stood_up_friend,embarrassed,intensity,an average UW-Madison student,1,3,2.0.0
1,23132,123,Left,123,123,00:32,13213-12-31,2026-06-10T08:19:47.006Z,emotion_scenarios,stood_up_friend,embarrassed,confidence,an average UW-Madison student,1,4,2.0.0
1,23132,123,Left,123,123,00:32,13213-12-31,2026-06-10T08:19:47.012Z,emotion_scenarios,stood_up_friend,angry,intensity,an average UW-Madison student,1,5,2.0.0
1,23132,123,Left,123,123,00:32,13213-12-31,2026-06-10T08:19:47.018Z,emotion_scenarios,stood_up_friend,angry,confidence,an average UW-Madison student,1,6,2.0.0
1,23132,123,Left,123,123,00:32,13213-12-31,2026-06-10T08:19:50.170Z,emotion_scenarios,goal_achieved,pride,intensity,an average UW-Madison student,1,7,2.0.0
1,23132,123,Left,123,123,00:32,13213-12-31,2026-06-10T08:19:50.203Z,emotion_scenarios,goal_achieved,pride,confidence,an average UW-Madison student,1,8,2.0.0
1,23132,123,Left,123,123,00:32,13213-12-31,2026-06-10T08:19:50.220Z,emotion_scenarios,goal_achieved,content,intensity,an average UW-Madison student,1,9,2.0.0
1,23132,123,Left,123,123,00:32,13213-12-31,2026-06-10T08:19:50.236Z,emotion_scenarios,goal_achieved,content,confidence,an average UW-Madison student,1,10,2.0.0
1,23132,123,Left,123,123,00:32,13213-12-31,2026-06-10T08:19:50.244Z,emotion_scenarios,goal_achieved,happy,intensity,an average UW-Madison student,1,11,2.0.0
1,23132,123,Left,123,123,00:32,13213-12-31,2026-06-10T08:19:50.252Z,emotion_scenarios,goal_achieved,happy,confidence,an average UW-Madison student,1,12,2.0.0
1,23132,123,Left,123,123,00:32,13213-12-31,2026-06-10T08:19:53.020Z,emotion_scenarios,speech_celebration,excited,intensity,an average UW-Madison student,1,13,2.0.0
1,23132,123,Left,123,123,00:32,13213-12-31,2026-06-10T08:19:53.048Z,emotion_scenarios,speech_celebration,excited,confidence,an average UW-Madison student,1,14,2.0.0
