dyadId,participantId,partnerId,computer,subjectInitials,raName,sessionTime,sessionDate,sessionTimestamp,ratingTask,subTask,emotion1,emotion2,ratingPerson,response,trialNumber,softwareVersion
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:44.478Z,emotion_scenarios,new_city,happy,intensity,your partner,4,1,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:44.493Z,emotion_scenarios,new_city,happy,confidence,your partner,3,2,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:44.502Z,emotion_scenarios,new_city,excited,intensity,your partner,6,3,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:44.507Z,emotion_scenarios,new_city,excited,confidence,your partner,3,4,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:44.512Z,emotion_scenarios,new_city,anxious,intensity,your partner,5,5,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:44.516Z,emotion_scenarios,new_city,anxious,confidence,your partner,2,6,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:51.544Z,emotion_scenarios,stood_up_friend,angry,intensity,your partner,5,7,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:51.554Z,emotion_scenarios,stood_up_friend,angry,confidence,your partner,4,8,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:51.562Z,emotion_scenarios,stood_up_friend,sad,intensity,your partner,5,9,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:51.568Z,emotion_scenarios,stood_up_friend,sad,confidence,your partner,4,10,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:51.572Z,emotion_scenarios,stood_up_friend,embarrassed,intensity,your partner,5,11,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:51.577Z,emotion_scenarios,stood_up_friend,embarrassed,confidence,your partner,4,12,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:59.693Z,emotion_scenarios,friend_moving,happy,intensity,your partner,7,13,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:59.700Z,emotion_scenarios,friend_moving,happy,confidence,your partner,6,14,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:59.706Z,emotion_scenarios,friend_moving,anxious,intensity,your partner,6,15,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:59.709Z,emotion_scenarios,friend_moving,anxious,confidence,your partner,4,16,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:59.714Z,emotion_scenarios,friend_moving,sad,intensity,your partner,4,17,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:02:59.718Z,emotion_scenarios,friend_moving,sad,confidence,your partner,1,18,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:03:06.390Z,emotion_scenarios,bug_in_food,angry,intensity,your partner,5,19,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:03:06.397Z,emotion_scenarios,bug_in_food,angry,confidence,your partner,4,20,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:03:06.404Z,emotion_scenarios,bug_in_food,disgust,intensity,your partner,5,21,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:03:06.409Z,emotion_scenarios,bug_in_food,disgust,confidence,your partner,4,22,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:03:06.414Z,emotion_scenarios,bug_in_food,scared,intensity,your partner,6,23,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:03:06.417Z,emotion_scenarios,bug_in_food,scared,confidence,your partner,5,24,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:03:12.920Z,emotion_scenarios,goal_achieved,content,intensity,your partner,7,25,2.0.0
123,123,123,Left,123,13,13:23,11111-11-11,2026-06-10T08:03:12.929Z,emotion_scenarios,goal_achieved,content,confidence,your partner,4,26,2.0.0
